country,continent,national_dish
Afghanistan,Asia,Kabuli palaw
Albania,Europe,Tave kosi
Algeria,Africa,Couscous
Andorra,Europe,Escudella i carn d'olla
Angola,Africa,Poulet a la moambe
Antigua and Barbuda,North America,Saltfish and fungie
Argentina,South America,Asado
Armenia,Europe,Harisa
Australia,Oceania,Meat pie
Austria,Europe,Wiener schnitzel
Azerbaijan,Europe,Tolma
Bahamas,North America,Crack conch
Bahrain,Asia,Kabsa
Bangladesh,Asia,Iilish
Barbados,North America,Cou-cou
Belarus,Europe,Draniki
Belgium,Europe,Frites
Belize,North America,Boil up
Benin,Africa,Kuli-kuli
Bhutan,Asia,Ema datshi
Bolivia,South America,Saltenas
Bosnia and Herzegovina,Europe,Cevapi
Botswana,Africa,Seswaa
Brazil,South America,Feijoada
Brunei,Asia,Ambuyat
Bulgaria,Europe,Shopska salata
Burkina,Africa,Riz gras
Burma (Myanmar),Asia,Mohinga
Burundi,Africa,Mealie
Cambodia,Asia,Amok trey
Cameroon,Africa,Ndole
Canada,North America,Poutine
Cape Verde,Africa,Cachupa
Central African Republic,Africa,Cassava
Chad,Africa,Boule
Chile,South America,Empanada
China,Asia,Peking duck
Colombia,South America,Ajiaco
Comoros,Africa,Langouste a la vanille
Congo,Africa,Poulet a la moambe
Democratic Republic of Congo,Africa,Poulet moambe
Costa Rica,North America,Gallo pinto
Croatia,Europe,Zagorski strukli
Cuba,North America,Ropa vieja
Cyprus,Europe,Souvla
Czech Republic,Europe,Vepro-knedlo-zelo
Denmark,Europe,Stegt flaesk
Djibouti,Africa,Skoudehkaris
Dominica,North America,Callaloo
Dominican Republic,North America,La bandera
East Timor,Asia,Ikan pepes
Ecuador,South America,Encebollado
Egypt,Africa,Ful medames
El Salvador,North America,Pupasa
Equatorial Guinea,Africa,Succotash
Eritrea,Africa,Zigini
Estonia,Europe,Verivorst
Ethiopia,Africa,Doro wat
Fiji,Oceania,Lovo
Finland,Europe,Karjalanpaisti
France,Europe,Pot-au-feu
Gabon,Africa,Poulet nyembwe
Gambia,Africa,Domoda
Georgia,Europe,Khachapuri
Germany,Europe,Sauerbraten
Ghana,Africa,Fufu
Greece,Europe,Horiatiki
Grenada,North America,Oil down
Guatemala,North America,Chiles rellenos
Guinea,Africa,Poulet yassa
Guinea-Bissau,Africa,Poulet yassa
Guyana,South America,Pepperpot
Haiti,North America,Diri ak Djon Djon
Honduras,North America,Plato tipico
Hungary,Europe,Gulyas
Iceland,Europe,Hakarl
India,Asia,Khichdi
Indonesia,Asia,Nasi goreng
Iran,Asia,Abgoosht
Iraq,Asia,Masgouf
Ireland,Europe,Irish stew
Israel,Asia,Falafel
Italy,Europe,Pizza
Ivory Coast,Africa,Atcheke
Jamaica,North America,Ackee and saltfish
Japan,Asia,Sushi
Jordan,Asia,Mansaf
Kazakhstan,Asia,Beshbarmak
Kenya,Africa,Ugali
Kiribati,Oceania,Palusami
North Korea,Asia,Raengmyeon
South Korea,Asia,Kimchi
Kuwait,Asia,Machboos
Kyrgyzstan,Asia,Beshbarmak
Laos,Asia,Laap
Latvia,Europe,Sklandrausis
Lebanon,Asia,Kibbeh
Lesotho,Africa,Pap-pap
Liberia,Africa,Dumboy
Libya,Africa,Couscous
Liechtenstein,Europe,Liechtensteiner kasknofle
Lithuania,Europe,Cepelinai
Luxembourg,Europe,Judd mat Gaardebounen
Macedonia,Europe,Tavce Gravce
Madagascar,Africa,Romazava
Malawi,Africa,Chambo
Malaysia,Asia,Nasi lemak
Maldives,Asia,Garudhiya
Mali,Africa,Jollof rice
Malta,Europe,Stuffat tal-fenek
Marshall Islands,Oceania,Barramundi cod
Mauritania,Africa,Thieboudienne
Mauritius,Africa,Dholl puri
Mexico,North America,Taco
Micronesia,Oceania,Pihlohlo mwehng
Moldova,Europe,Mamaliga
Monaco,Europe,Barbagiuan
Mongolia,Asia,Buuz
Montenegro,Europe,Chevapi
Morocco,Africa,Tagine
Mozambique,Africa,Matapa
Namibia,Africa,Pap
Nauru,Oceania,Coconut fish
Nepal,Asia,Dal bhat
Netherlands,Europe,Stamppoty
New Zealand,Oceania,Pavlova
Nicaragua,North America,Nacatamal
Niger,Africa,Djerma stew
Nigeria,Africa,Tuwo shinkafa
Norway,Europe,Farikal
Oman,Asia,Shuwa
Pakistan,Asia,Nihari
Palau,Oceania,Maqluba
Panama,North America,Sancocho
Papua New Guinea,Oceania,Mumu
Paraguay,South America,Soyo
Peru,South America,Ceviche
Philippines,Asia,Adobo
Poland,Europe,Bigos
Portugal,Europe,Bacalhau
Qatar,Asia,Machboos
Romania,Europe,Mamaliga
Russian Federation,Asia,Borscht
Rwanda,Africa,Brochettes
Saint Kitts and Nevis,North America,Goat water
Saint Lucia,North America,Green fig and saltfish
Saint Vincent and the Grenadines,North America,Roasted breadfruit
Samoa,Oceania,Panipopo
San Marino,Europe,Fagioli con le cotiche
Sao Tome and Principe,Africa,Calulu
Saudi Arabia,Asia,Kabsa
Senegal,Africa,Thieboudienne
Serbia,Europe,Cevapcici
Seychelles,Africa,Red lentils
Sierra Leone,Africa,Stir-fried okra stew
Singapore,Asia,Hainanese chicken rice
Slovakia,Europe,Bryndzove halusky
Slovenia,Europe,Buckwheat dumplings
Solomon Islands,Oceania,Poi
Somalia,Africa,Malawax
South Africa,Africa,Bobotie
South Sudan,Africa,Kajaik
